Lectin Name,Short Names,UniProt ID,PDB IDs,LfDB IDs,Monosaccharide Specificities,Species,Taxonomy ID,MCAW IDs
Polycystic kidney disease protein 1-like 3,,Q2EG98,"[""7D7E"",""7D7F""]",,,Mus musculus,10090,
Polycystic kidney disease protein 1-like 3,,Q7Z443,,,,Homo sapiens,9606,
Polycystin-1,,O08852,,,,Mus musculus,10090,
Polycystin-1,,P98161,"[""1B4R"",""6A70""]",,,Homo sapiens,9606,
Polypeptide N-acetylgalactosaminyltransferase,,H0ZAB5,"[""6S22"",""6S24""]",,,Taeniopygia guttata,59729,
Polypeptide N-acetylgalactosaminyltransferase 1,,Q07537,,,,Bos taurus,9913,
Polypeptide N-acetylgalactosaminyltransferase 1,,Q6WV20,,,,Drosophila melanogaster,7227,
Polypeptide N-acetylgalactosaminyltransferase 1,,Q10473,,,,Rattus norvegicus,10116,
Polypeptide N-acetylgalactosaminyltransferase 1,,O08912,"[""1XHB""]",,,Mus musculus,10090,
Polypeptide N-acetylgalactosaminyltransferase 1,,Q29121,,,,Sus scrofa,9823,
Polypeptide N-acetylgalactosaminyltransferase 1,,Q10472,,,,Homo sapiens,9606,
Polypeptide N-acetylgalactosaminyltransferase 10,,Q86SR1,"[""2D7I"",""2D7R""]",,,Homo sapiens,9606,
Polypeptide N-acetylgalactosaminyltransferase 10,,Q925R7,,,,Rattus norvegicus,10116,
Polypeptide N-acetylgalactosaminyltransferase 10,,Q6P9S7,,,,Mus musculus,10090,
Polypeptide N-acetylgalactosaminyltransferase 11,,Q6DJR8,,,,Xenopus tropicalis,8364,
Polypeptide N-acetylgalactosaminyltransferase 11,,Q921L8,,,,Mus musculus,10090,
Polypeptide N-acetylgalactosaminyltransferase 11,,Q6P6V1,,,,Rattus norvegicus,10116,
Polypeptide N-acetylgalactosaminyltransferase 11,,Q8NCW6,,,,Homo sapiens,9606,
Polypeptide N-acetylgalactosaminyltransferase 12,,Q8BGT9,,,,Mus musculus,10090,
Polypeptide N-acetylgalactosaminyltransferase 12,,Q8IXK2,"[""6PXU""]",,,Homo sapiens,9606,
Polypeptide N-acetylgalactosaminyltransferase 13,,Q8CF93,,,,Mus musculus,10090,
Polypeptide N-acetylgalactosaminyltransferase 13,,Q6UE39,,,,Rattus norvegicus,10116,
Polypeptide N-acetylgalactosaminyltransferase 13,,Q8IUC8,,,,Homo sapiens,9606,
Polypeptide N-acetylgalactosaminyltransferase 14,,Q96FL9,,,,Homo sapiens,9606,
Polypeptide N-acetylgalactosaminyltransferase 14,,Q8BVG5,,,,Mus musculus,10090,
Polypeptide N-acetylgalactosaminyltransferase 15,,Q8N3T1,,,,Homo sapiens,9606,
Polypeptide N-acetylgalactosaminyltransferase 15,,Q9D2N8,,,,Mus musculus,10090,
Polypeptide N-acetylgalactosaminyltransferase 16,,Q8N428,,,,Homo sapiens,9606,
Polypeptide N-acetylgalactosaminyltransferase 16,,Q9JJ61,,,,Mus musculus,10090,
Polypeptide N-acetylgalactosaminyltransferase 17,,Q7TT15,,,,Mus musculus,10090,
Polypeptide N-acetylgalactosaminyltransferase 17,,Q6IS24,,,,Homo sapiens,9606,
Polypeptide N-acetylgalactosaminyltransferase 18,,Q8K1B9,,,,Mus musculus,10090,
Polypeptide N-acetylgalactosaminyltransferase 18,,Q6P9A2,,,,Homo sapiens,9606,
Polypeptide N-acetylgalactosaminyltransferase 2,,Q6PB93,,,,Mus musculus,10090,
Polypeptide N-acetylgalactosaminyltransferase 2,,Q6WV19,,,,Drosophila melanogaster,7227,
Polypeptide N-acetylgalactosaminyltransferase 2,,Q10471,"[""2FFU"",""2FFV"",""4D0T"",""4D0Z"",""4D11"",""5AJN"",""5AJO"",""5AJP"",""5FV9"",""5NDF"",""6E7I"",""6EGS"",""6NQT""]",,,Homo sapiens,9606,
Polypeptide N-acetylgalactosaminyltransferase 3,,Q14435,,,,Homo sapiens,9606,
Polypeptide N-acetylgalactosaminyltransferase 3,,P70419,,,,Mus musculus,10090,
Polypeptide N-acetylgalactosaminyltransferase 3,,P34678,,,,Caenorhabditis elegans,6239,
Polypeptide N-acetylgalactosaminyltransferase 3,,Q9Y117,,,,Drosophila melanogaster,7227,
Polypeptide N-acetylgalactosaminyltransferase 35A,,Q8MVS5,,,,Drosophila melanogaster,7227,
Polypeptide N-acetylgalactosaminyltransferase 4,,O08832,,,,Mus musculus,10090,
Polypeptide N-acetylgalactosaminyltransferase 4,,Q8I136,,,,Caenorhabditis elegans,6239,
Polypeptide N-acetylgalactosaminyltransferase 4,,Q8N4A0,"[""5NQA"",""6H0B""]",,,Homo sapiens,9606,
Polypeptide N-acetylgalactosaminyltransferase 5,,Q8C102,,,,Mus musculus,10090,
Polypeptide N-acetylgalactosaminyltransferase 5,,Q6WV17,,,,Drosophila melanogaster,7227,
Polypeptide N-acetylgalactosaminyltransferase 5,,Q7Z7M9,,,,Homo sapiens,9606,
Polypeptide N-acetylgalactosaminyltransferase 5,,Q95ZJ1,,,,Caenorhabditis elegans,6239,
Polypeptide N-acetylgalactosaminyltransferase 5,,O88422,,,,Rattus norvegicus,10116,
Polypeptide N-acetylgalactosaminyltransferase 6,,Q8NCL4,,,,Homo sapiens,9606,
Polypeptide N-acetylgalactosaminyltransferase 6,,Q5EA41,,,,Bos taurus,9913,
Polypeptide N-acetylgalactosaminyltransferase 6,,Q8C7U7,,,,Mus musculus,10090,
Polypeptide N-acetylgalactosaminyltransferase 8,,Q9VUT6,,,,Drosophila melanogaster,7227,
Polypeptide N-acetylgalactosaminyltransferase 9,,Q9GM01,,,,Macaca fascicularis,9541,
Polypeptide N-acetylgalactosaminyltransferase 9,,Q9HCQ5,,,,Homo sapiens,9606,
Polypeptide N-acetylgalactosaminyltransferase-like 6,,Q49A17,,,,Homo sapiens,9606,
Ponticulin,,P54660,,,,Dictyostelium discoideum,44689,
Ponticulin-like protein B,,Q54M25,,,,Dictyostelium discoideum,44689,
Predicted protein,,A7SDD2,"[""5C2M""]",,,Nematostella vectensis,45351,
Pro-hevein,,P02877,"[""1HEV"",""1Q9B"",""1T0W"",""1WKX"",""4WP4""]",,,Hevea brasiliensis,3981,
Probable L-type lectin-domain containing receptor kinase I.2,,Q7FK82,,,,Arabidopsis thaliana,3702,
Probable L-type lectin-domain containing receptor kinase I.5,,Q9M1G4,,,,Arabidopsis thaliana,3702,
Probable L-type lectin-domain containing receptor kinase I.6,,Q9M1G3,,,,Arabidopsis thaliana,3702,
Probable L-type lectin-domain containing receptor kinase II.1,,Q9FIF1,,,,Arabidopsis thaliana,3702,
Probable L-type lectin-domain containing receptor kinase S.5,,Q9FG33,,,,Arabidopsis thaliana,3702,
Probable L-type lectin-domain containing receptor kinase S.7,,Q9FHG4,,,,Arabidopsis thaliana,3702,
Probable L-type lectin-domain containing receptor kinase V.3,,O22834,,,,Arabidopsis thaliana,3702,
Probable L-type lectin-domain containing receptor kinase VI.1,,Q9SR87,,,,Arabidopsis thaliana,3702,
Probable L-type lectin-domain containing receptor kinase VII.2,,O49445,,,,Arabidopsis thaliana,3702,
Probable N-acetylgalactosaminyltransferase 6,,O61394,,,,Caenorhabditis elegans,6239,
Probable N-acetylgalactosaminyltransferase 7,,O61397,,,,Caenorhabditis elegans,6239,
Probable N-acetylgalactosaminyltransferase 9,,Q9U2C4,,,,Caenorhabditis elegans,6239,
Probable aldose 1-epimerase ARB_05372,,D4AMB9,,,,Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371),663331,
Probable alpha-galactosidase A,,B8MWJ5,,,,Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167),332952,
Probable alpha-galactosidase A,,Q2UT06,,,,Aspergillus oryzae (strain ATCC 42149 / RIB 40),510516,
Probable alpha-galactosidase A,,Q4WVZ3,,,,Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100),330879,
Probable alpha-galactosidase A,,A2QL72,,,,Aspergillus niger (strain CBS 513.88 / FGSC A1513),425011,
Probable alpha-galactosidase A,,A1DDD8,,,,Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181),331117,
Probable alpha-galactosidase A,,Q0CPK2,,,,Aspergillus terreus (strain NIH 2624 / FGSC A1156),341663,
Probable alpha-galactosidase A,,A1CBW8,,,,Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107),344612,
Probable alpha-glucosidase Os06g0675700,,Q653V7,,,,Oryza sativa subsp. japonica,39947,
Probable alpha-mannosidase At5g13980,,Q8LPJ3,,,,Arabidopsis thaliana,3702,
Probable alpha-mannosidase At5g66150,,Q9FKW9,,,,Arabidopsis thaliana,3702,
Probable alpha/beta-glucosidase ARB_02101,,D4B0X3,,,,Arthroderma benhamiae (strain ATCC MYA-4681 / CBS 112371),663331,
Probable alpha/beta-glucosidase agdC,,B0XNL6,,,,Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163),451804,
Probable alpha/beta-glucosidase agdC,,A1CNK4,,,,Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107),344612,
Probable alpha/beta-glucosidase agdC,,B8MZ41,,,,Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167),332952,
Probable alpha/beta-glucosidase agdC,,Q0CMA7,,,,Aspergillus terreus (strain NIH 2624 / FGSC A1156),341663,
Probable alpha/beta-glucosidase agdC,,Q2UQV7,,,,Aspergillus oryzae (strain ATCC 42149 / RIB 40),510516,
Probable alpha/beta-glucosidase agdC,,Q4WRH9,,,,Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100),330879,
Probable alpha/beta-glucosidase agdC,,A1D1E6,,,,Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181),331117,
Probable bifunctional chitinase/lysozyme,,P13656,,,,Escherichia coli (strain K12),83333,
Probable galaptin lec-7,,Q09605,,,,Caenorhabditis elegans,6239,
Probable galaptin lec-8,,Q09610,,,,Caenorhabditis elegans,6239,
"Probable glucan 1,3-alpha-glucosidase",,Q9FN05,,,,Arabidopsis thaliana,3702,
"Probable glucan 1,3-alpha-glucosidase",,B9F676,,,,Oryza sativa subsp. japonica,39947,
Probable glucans biosynthesis protein D,,Q8EI02,,,,Shewanella oneidensis (strain MR-1),211586,
Probable inactive L-type lectin-domain containing receptor kinase III.1,,Q9ZW09,,,,Arabidopsis thaliana,3702,
Probable jacalin-related lectin 26,,Q84X12,,,,Arabidopsis thaliana,3702,
Probable maltase-glucoamylase 2,,Q2M2H8,,,,Homo sapiens,9606,
Probable polypeptide N-acetylgalactosaminyltransferase 8,,Q9NY28,,,,Homo sapiens,9606,
Probable retaining alpha-galactosidase,,D7CFN7,,,,Streptomyces bingchenggensis (strain BCW-1),749414,
Probable rhamnogalacturonate lyase A,,B0YEH9,,,,Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163),451804,
Probable rhamnogalacturonate lyase A,,Q4W9T6,,,,Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100),330879,
Probable rhamnogalacturonate lyase A,,A2R2L1,,,,Aspergillus niger (strain CBS 513.88 / FGSC A1513),425011,
Probable rhamnogalacturonate lyase A,,A1D9P9,,,,Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181),331117,
Probable rhamnogalacturonate lyase A,,Q0CVU1,,,,Aspergillus terreus (strain NIH 2624 / FGSC A1156),341663,
Probable rhamnogalacturonate lyase A,,Q2U0Q1,,,,Aspergillus oryzae (strain ATCC 42149 / RIB 40),510516,
Probable rhamnogalacturonate lyase A,,A1C995,,,,Aspergillus clavatus (strain ATCC 1007 / CBS 513.65 / DSM 816 / NCTC 3887 / NRRL 1 / QM 1276 / 107),344612,
Probable rhamnogalacturonate lyase A,,B8NCU7,,,,Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167),332952,
Probable rhamnogalacturonate lyase B,,Q2UDJ8,,,,Aspergillus oryzae (strain ATCC 42149 / RIB 40),510516,
Probable rhamnogalacturonate lyase B,,B0XPA2,,,,Neosartorya fumigata (strain CEA10 / CBS 144.89 / FGSC A1163),451804,
Probable rhamnogalacturonate lyase B,,A5ABH4,,,,Aspergillus niger (strain CBS 513.88 / FGSC A1513),425011,
Probable rhamnogalacturonate lyase B,,Q0C7K7,,,,Aspergillus terreus (strain NIH 2624 / FGSC A1156),341663,
Probable rhamnogalacturonate lyase B,,B8N5T6,,,,Aspergillus flavus (strain ATCC 200026 / FGSC A1120 / IAM 13836 / NRRL 3357 / JCM 12722 / SRRC 167),332952,
Probable rhamnogalacturonate lyase B,,Q4WR79,,,,Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100),330879,
Probable rhamnogalacturonate lyase B,,A1D144,,,,Neosartorya fischeri (strain ATCC 1020 / DSM 3700 / CBS 544.65 / FGSC A1164 / JCM 1740 / NRRL 181 / WB 181),331117,
Probable rhamnogalacturonate lyase C,,Q2U5P7,,,,Aspergillus oryzae (strain ATCC 42149 / RIB 40),510516,
Probable rhamnogalacturonate lyase C,,Q5B5P1,,,,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),227321,
Probable sugar-binding lectin protein,,Q8XUA5,"[""1UQX"",""2CHH""]",,,Ralstonia solanacearum (strain GMI1000),267608,
Prostatic spermine-binding protein,,P15501,,,,Mus musculus,10090,
Prostatic spermine-binding protein,,P08723,,,,Rattus norvegicus,10116,
Protease-sensitive outer capsid protein (Fragment),,D2DXN5,"[""6NIW"",""6OAI""]",,,Human rotavirus A,10941,
Protein A16,,Q93118,,,,Anopheles gambiae,7165,
Protein A40,,P24765,,,,Vaccinia virus (strain Western Reserve),10254,
Protein A40,,P21063,,,,Vaccinia virus (strain Copenhagen),10249,
Protein EMP46,,Q12396,"[""2A6V"",""2A6W"",""2A6X""]",,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),559292,
Protein EMP47,,P43555,"[""2A6Y"",""2A6Z"",""2A70"",""2A71""]",,,Saccharomyces cerevisiae (strain ATCC 204508 / S288c),559292,
Protein ERGIC-53,,P49257,"[""3A4U"",""3LCP"",""3WHT"",""3WHU"",""3WNX"",""4GKX"",""4GKY"",""4YGB"",""4YGC"",""4YGD"",""4YGE""]",,,Homo sapiens,9606,
Protein ERGIC-53,,Q62902,"[""1GV9"",""1R1Z""]",,,Rattus norvegicus,10116,
Protein GOS9,,A2WMH2,,,,Oryza sativa subsp. indica,39946,
Protein GOS9,,P0C5C6,,,,Oryza sativa subsp. japonica,39947,
"Protein LacX, chromosomal",,P42096,,,,Lactococcus lactis subsp. lactis,1360,
"Protein LacX, plasmid",,P23496,,,,Lactococcus lactis subsp. lactis,1360,
Protein NDH-DEPENDENT CYCLIC ELECTRON FLOW 5,,Q9C503,,,,Arabidopsis thaliana,3702,
Protein OS-9,,Q5RKH6,,,,Rattus norvegicus,10116,
Protein OS-9,,Q8K2C7,,,,Mus musculus,10090,
Protein OS-9,,Q3MHX6,,,,Bos taurus,9913,
Protein OS-9,,Q13438,"[""3AIH""]",,,Homo sapiens,9606,
Protein OS-9 homolog,,Q4WCG2,,,,Neosartorya fumigata (strain ATCC MYA-4609 / Af293 / CBS 101355 / FGSC A1100),330879,
Protein OS-9 homolog,,Q67WM9,,,,Oryza sativa subsp. japonica,39947,
Protein OS-9 homolog,,Q5ACR4,,,,Candida albicans (strain SC5314 / ATCC MYA-2876),237561,
Protein OS-9 homolog,,Q5BDB9,,,,Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139),227321,
Protein OS-9 homolog,,Q4IEA7,,,,Gibberella zeae (strain ATCC MYA-4620 / CBS 123657 / FGSC 9075 / NRRL 31084 / PH-1),229533,
Protein OS-9 homolog,,Q872S3,,,,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),367110,
Protein OS-9 homolog,,Q6FV52,,,,Candida glabrata (strain ATCC 2001 / CBS 138 / JCM 3761 / NBRC 0622 / NRRL Y-65),284593,
Protein OS-9 homolog,,Q6CNH1,,,,Kluyveromyces lactis (strain ATCC 8585 / CBS 2359 / DSM 70799 / NBRC 1267 / NRRL Y-1140 / WM37),284590,
Protein OS-9 homolog,,Q8GWH3,,,,Arabidopsis thaliana,3702,
Protein OS-9 homolog,,Q6C3U1,,,,Yarrowia lipolytica (strain CLIB 122 / E 150),284591,
Protein OS-9 homolog,,Q756T2,,,,Ashbya gossypii (strain ATCC 10895 / CBS 109.51 / FGSC 9923 / NRRL Y-1056),284811,
Protein OS-9 homolog,,Q6BJ08,,,,Debaryomyces hansenii (strain ATCC 36239 / CBS 767 / BCRC 21394 / JCM 1990 / NBRC 0083 / IGC 2968),284592,
Protein OS-9 homolog,,Q9UTC8,,,,Schizosaccharomyces pombe (strain 972 / ATCC 24843),284812,
Protein PHLOEM PROTEIN 2-LIKE A1,,O81865,,,,Arabidopsis thaliana,3702,
Protein PHLOEM PROTEIN 2-LIKE A10,,Q9SY57,,,,Arabidopsis thaliana,3702,
Protein PHLOEM PROTEIN 2-LIKE A5,,Q9C5Q9,,,,Arabidopsis thaliana,3702,
Protein PHLOEM PROTEIN 2-LIKE A6,,Q9FHE8,,,,Arabidopsis thaliana,3702,
Protein PHLOEM PROTEIN 2-LIKE A8,,Q9FHE9,,,,Arabidopsis thaliana,3702,
Protein PHLOEM PROTEIN 2-LIKE A9,,Q9SA16,,,,Arabidopsis thaliana,3702,
Protein RESTRICTED TEV MOVEMENT 1,,Q9SE37,,,,Arabidopsis thaliana,3702,
Protein bark beetle,,M9NDE3,,,,Drosophila melanogaster,7227,
Protein eva-1,,Q9XU98,,,,Caenorhabditis elegans,6239,
Protein eva-1 homolog C,,Q68US5,,,,Pan troglodytes,9598,
Protein eva-1 homolog C,,P58658,,,,Homo sapiens,9606,
Protein eva-1 homolog C,,P58659,,,,Mus musculus,10090,
Protein irg-7,,A0A131MBU3,,,,Caenorhabditis elegans,6239,
Protein nessun dorma,,Q9VIP0,,,,Drosophila melanogaster,7227,
Protein oar,,P38370,,,,Myxococcus xanthus,34,
Proteoglycan 3,,Q9Y2Y8,,,,Homo sapiens,9606,
Proteoglycan 3,,Q9JL95,,,,Mus musculus,10090,
Pullulanase,,O33840,"[""2J71"",""2J72"",""2J73""]",,,Thermotoga maritima (strain ATCC 43589 / DSM 3109 / JCM 10099 / NBRC 100826 / MSB8),243274,
Pullulanase,,P07206,"[""2YOC""]",,,Klebsiella pneumoniae,573,
Pullulanase,,P07811,"[""2FGZ"",""2FH6"",""2FH8"",""2FHB"",""2FHC"",""2FHF""]",,,Klebsiella aerogenes,548,
Pullulanase A,,Q9F930,,,,Streptococcus pneumoniae,1313,
Pullulanase A,,A0A0H2ZL64,,,,Streptococcus pneumoniae serotype 2 (strain D39 / NCTC 7466),373153,
Pulmonary surfactant-associated protein A,,P49874,,,,Sus scrofa,9823,
Pulmonary surfactant-associated protein A,,Q9TT06,,,,Ovis aries,9940,
Pulmonary surfactant-associated protein A,,P08427,"[""1R13"",""1R14"",""3PAK"",""3PAQ"",""3PAR"",""3PBF"",""4WR9"",""4WRC"",""4WRE"",""4WRF"",""4WUW"",""4WUX"",""5FFR"",""5FFS"",""5FFT""]",,,Rattus norvegicus,10116,
Pulmonary surfactant-associated protein A,,P06908,,,,Canis lupus familiaris,9615,
Pulmonary surfactant-associated protein A,,Q9TUC5,,,,Macaca mulatta,9544,
Pulmonary surfactant-associated protein A,,P12842,,,,Oryctolagus cuniculus,9986,
Pulmonary surfactant-associated protein A,,Q6RXL1,,,,Bos taurus,9913,
Pulmonary surfactant-associated protein A,,P50403,,,,Cavia porcellus,10141,
Pulmonary surfactant-associated protein A,,P35242,,,,Mus musculus,10090,
Pulmonary surfactant-associated protein A,,Q95L88,,,,Equus caballus,9796,
Pulmonary surfactant-associated protein A1,,Q8IWL2,,,,Homo sapiens,9606,
Pulmonary surfactant-associated protein A2,,Q8IWL1,,,,Homo sapiens,9606,
Pulmonary surfactant-associated protein D,,P35246,,,,Bos taurus,9913,
Pulmonary surfactant-associated protein D,,Q9N1X4,"[""4DN8"",""6BBD"",""6BBE""]",,,Sus scrofa,9823,
Pulmonary surfactant-associated protein D,,P35247,"[""1B08"",""1M7L"",""1PW9"",""1PWB"",""2GGU"",""2GGX"",""2ORJ"",""2ORK"",""2OS9"",""2RIA"",""2RIB"",""2RIC"",""2RID"",""2RIE"",""3DBZ"",""3G81"",""3G83"",""3G84"",""3IKN"",""3IKP"",""3IKQ"",""3IKR"",""4E52"",""4M17"",""4M18"",""5OXR"",""5OXS""]",,,Homo sapiens,9606,"[""1417"",""1452"",""1477""]"
Pulmonary surfactant-associated protein D,,Q1PBC5,,,,Macaca mulatta,9544,
Putative B-type lectin protein L288,,Q5UPX2,,,,Acanthamoeba polyphaga mimivirus,212035,
Putative C-type lectin domain family 20 member A,,Q6ZU45,,,,Homo sapiens,9606,
Putative C-type lectin protein 51,,Q66653,,,,Equine herpesvirus 2 (strain 86/87),82831,
Putative C-type lectin protein FPV001/FPV260,,Q9ICH6,,,,Fowlpox virus (strain NVSL),928301,
Putative C-type lectin protein FPV003/FPV258,,Q9ICC1,,,,Fowlpox virus (strain NVSL),928301,
Putative C-type lectin protein FPV008/FPV253,,P14370,,,,Fowlpox virus (strain NVSL),928301,
Putative C-type lectin protein FPV198,,Q9J535,,,,Fowlpox virus (strain NVSL),928301,
Putative C-type lectin protein FPV239,,P14371,,,,Fowlpox virus (strain NVSL),928301,
Putative F-box protein PP2-B12,,Q9FLU7,,,,Arabidopsis thaliana,3702,
Putative F-box protein PP2-B2,,Q9ZVR5,,,,Arabidopsis thaliana,3702,
Putative F-box protein PP2-B6,,Q9ZVR0,,,,Arabidopsis thaliana,3702,
Putative F-box protein PP2-B8,,Q9ZVQ8,,,,Arabidopsis thaliana,3702,
Putative F17-like fimbril adhesin subunit,,Q1R2V7,"[""5NWP""]",,,Escherichia coli (strain UTI89 / UPEC),364106,
Putative Fml fimbrial adhesin FmlD,,Q1RBS0,"[""6AOW"",""6AOX"",""6AOY"",""6ARM"",""6ARN"",""6ARO"",""6AS8""]",,,Escherichia coli (strain UTI89 / UPEC),364106,
Putative G-type lectin S-receptor-like serine/threonine-protein kinase At1g61610,,Q9SY89,,,,Arabidopsis thaliana,3702,
Putative L-type lectin-domain containing receptor kinase I.1,,Q9M3E5,,,,Arabidopsis thaliana,3702,
Putative L-type lectin-domain containing receptor kinase I.10,,Q3E884,,,,Arabidopsis thaliana,3702,
Putative L-type lectin-domain containing receptor kinase I.11,,Q9FJI4,,,,Arabidopsis thaliana,3702,
Putative L-type lectin-domain containing receptor kinase I.4,,Q9M3D7,,,,Arabidopsis thaliana,3702,
Putative L-type lectin-domain containing receptor kinase II.2,,Q9FIF0,,,,Arabidopsis thaliana,3702,
Putative L-type lectin-domain containing receptor kinase V.1,,O04534,,,,Arabidopsis thaliana,3702,
Putative L-type lectin-domain containing receptor kinase V.2,,O04533,,,,Arabidopsis thaliana,3702,
Putative L-type lectin-domain containing receptor kinase V.6,,Q9LEA3,,,,Arabidopsis thaliana,3702,
Putative L-type lectin-domain containing receptor kinase V.8,,Q9M1Z9,,,,Arabidopsis thaliana,3702,
Putative alpha-amylase inhibitor (Fragment),,P81870,,,,Phaseolus vulgaris,3885,
Putative alpha-xylosidase 2,,F4J6T7,,,,Arabidopsis thaliana,3702,
Putative bark agglutinin LECRPA3 (Fragment),,Q41160,,,,Robinia pseudoacacia,35938,
Putative beta-galactosidase 10,,Q67VU7,,,,Oryza sativa subsp. japonica,39947,
Putative beta-glucuronidase,,T2KM09,,,,Formosa agariphila (strain DSM 15362 / KCTC 12365 / LMG 23005 / KMM 3901 / M-2Alg 35-1),1347342,
Putative calcium up-regulated protein H,,Q54FW5,,,,Dictyostelium discoideum,44689,
Putative calcium up-regulated protein I,,Q75JP7,,,,Dictyostelium discoideum,44689,
Putative calcium up-regulated protein J,,Q54Z20,,,,Dictyostelium discoideum,44689,
Putative endo-alpha-N-acetylgalactosaminidase,,A9WNA0,,,,Renibacterium salmoninarum (strain ATCC 33209 / DSM 20767 / JCM 11484 / NBRC 15589 / NCIMB 2235),288705,
Putative fucose-binding lectin protein,,D8NA05,"[""3ZI8"",""4I6S""]",,,Ralstonia solanacearum CMR15,859655,
Putative glucose-6-phosphate 1-epimerase,,Q40784,,,,Cenchrus ciliaris,35872,
Putative glucose-6-phosphate 1-epimerase,,P44160,,,,Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd),71421,
Putative glucose-6-phosphate 1-epimerase,,P39173,,,,Escherichia coli (strain K12),83333,
Putative glucose-6-phosphate 1-epimerase,,Q8ZPV9,"[""2HTA"",""2HTB""]",,,Salmonella typhimurium (strain LT2 / SGSC1412 / ATCC 700720),99287,
Putative inactive G-type lectin S-receptor-like serine/threonine-protein kinase SRK,,P0DH87,,,,Arabidopsis thaliana,3702,
Putative inactive L-type lectin-domain containing receptor kinase III.2,,Q9ZW11,,,,Arabidopsis thaliana,3702,
Putative inactive beta-glucuronidase-like protein SMA3,,Q15486,,,,Homo sapiens,9606,
Putative inactive polypeptide N-acetylgalactosaminyltransferase 11,,Q8IA41,,,,Drosophila melanogaster,7227,
Putative inactive polypeptide N-acetylgalactosaminyltransferase 12,,Q8IA44,,,,Drosophila melanogaster,7227,
Putative large adhesion protein (Lap) involved in biofilm formation,,H8W6K8,"[""6M8M"",""6XI3""]",,,Marinobacter nauticus (strain ATCC 49840 / DSM 8798 / CIP 103578 / SP17),1163748,
Putative lectin L633,,Q5UR81,,,,Acanthamoeba polyphaga mimivirus,212035,
Putative mannosylglycerate hydrolase,,Q9KER1,,,,Alkalihalobacillus halodurans (strain ATCC BAA-125 / DSM 18197 / FERM 7344 / JCM 9153 / C-125),272558,
Putative phage structural protein,,D3W0F1,"[""4L92"",""4L97"",""4L99"",""4L9B"",""4RGA"",""4RGG""]",,,Lactococcus phage 1358,741942,
Putative polypeptide N-acetylgalactosaminyltransferase 10,,O45947,,,,Caenorhabditis elegans,6239,
Putative polypeptide N-acetylgalactosaminyltransferase 10,,A8Y236,,,,Caenorhabditis briggsae,6238,
Putative polypeptide N-acetylgalactosaminyltransferase 10,,Q8IA43,,,,Drosophila melanogaster,7227,
Putative polypeptide N-acetylgalactosaminyltransferase 11,,Q7K755,,,,Caenorhabditis elegans,6239,
Putative polypeptide N-acetylgalactosaminyltransferase 13,,Q8MYY6,,,,Drosophila melanogaster,7227,
Putative polypeptide N-acetylgalactosaminyltransferase 9,,Q8MRC9,"[""6E4Q"",""6E4R""]",,,Drosophila melanogaster,7227,
Putative protein PHLOEM PROTEIN 2-LIKE B4,,Q9ZVR3,,,,Arabidopsis thaliana,3702,
Putative rhamnogalacturonase,,P78710,,,,Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987),367110,
Putative uncharacterized protein F40H6.5,,Q09277,,,,Caenorhabditis elegans,6239,
Putative zinc metalloproteinase C607.06c,,Q9US12,,,,Schizosaccharomyces pombe (strain 972 / ATCC 24843),284812,
